T0 R184:3606466.335812,IMG_SHARPEN,1,14,14,3606466.335846,3606466.335897,3606466.357825,INSTR,211001016
T0 R188:3606466.471986,IMG_BLUR,1,17,17,3606466.503050,3606466.518915,3606466.561236,INSTR,294428905
T0 R198:3606467.109945,IMG_SHARPEN,1,8,8,3606467.109979,3606467.110018,3606467.171829,INSTR,629132556
T0 R210:3606467.694864,IMG_BLUR,1,0,0,3606467.694899,3606467.694949,3606467.784751,INSTR,545881861
T0 R211:3606467.780638,IMG_BLUR,1,16,16,3606467.780680,3606467.784769,3606467.836167,INSTR,363701984
T0 R212:3606467.853380,IMG_SHARPEN,1,14,14,3606467.853413,3606467.853448,3606467.874617,INSTR,210759666
T0 R215:3606467.918716,IMG_SHARPEN,1,12,12,3606467.926572,3606467.926578,3606468.004114,INSTR,777968447
T0 R219:3606468.158982,IMG_SHARPEN,1,24,24,3606468.159016,3606468.159050,3606468.180291,INSTR,211114595
T0 R222:3606468.269419,IMG_BLUR,1,24,24,3606468.269454,3606468.269502,3606468.283684,INSTR,98820725
T0 R223:3606468.273685,IMG_SHARPEN,1,5,5,3606468.283732,3606468.283739,3606468.352741,INSTR,628442337
T0 R230:3606468.572634,IMG_SHARPEN,1,3,3,3606468.574322,3606468.574327,3606468.595218,INSTR,210581160
T0 R232:3606468.682158,IMG_SHARPEN,1,2,2,3606468.682191,3606468.682233,3606468.743696,INSTR,628485255
T0 R240:3606468.819229,IMG_SHARPEN,1,11,11,3606468.829177,3606468.862799,3606468.883731,INSTR,210607201
T0 R242:3606468.870021,IMG_BLUR,1,15,15,3606468.870062,3606468.883738,3606468.910739,INSTR,192738661
T0 R243:3606468.956856,IMG_SHARPEN,1,13,13,3606468.956889,3606468.956938,3606468.981825,INSTR,210455836
T0 R245:3606469.033900,IMG_SHARPEN,1,24,24,3606469.033934,3606469.033984,3606469.055274,INSTR,211093292
T0 R248:3606469.197882,IMG_SHARPEN,1,18,18,3606469.197914,3606469.197970,3606469.218706,INSTR,211114780
T0 R249:3606469.208333,IMG_BLUR,1,20,20,3606469.218756,3606469.218770,3606469.233200,INSTR,102149845
T0 R252:3606469.318529,IMG_SHARPEN,1,18,18,3606469.318563,3606469.318597,3606469.340674,INSTR,210543828
T0 R255:3606469.388979,IMG_SHARPEN,1,10,10,3606469.391903,3606469.394891,3606469.464237,INSTR,629496448
T0 R256:3606469.462832,IMG_SHARPEN,1,0,0,3606469.462885,3606469.464253,3606469.590775,INSTR,1166591471
T0 R258:3606469.508843,IMG_SHARPEN,1,22,22,3606469.548038,3606469.591403,3606469.612390,INSTR,218338271
T0 R259:3606469.531112,IMG_BLUR,1,15,15,3606469.548050,3606469.612400,3606469.639736,INSTR,192738661
T0 R261:3606469.613969,IMG_SHARPEN,1,16,16,3606469.614012,3606469.642026,3606469.723353,INSTR,777776923
T0 R263:3606469.708971,IMG_BLUR,1,24,24,3606469.712398,3606469.760213,3606469.774049,INSTR,98820535
T0 R265:3606469.742439,IMG_BLUR,1,13,13,3606469.742480,3606469.774055,3606469.787902,INSTR,98820650
T0 R266:3606469.792546,IMG_BLUR,1,12,12,3606469.792580,3606469.792632,3606469.843596,INSTR,363702000
T0 R269:3606469.911660,IMG_BLUR,1,8,8,3606469.911701,3606469.911739,3606469.953837,INSTR,294428436
T0 R271:3606469.977812,IMG_BLUR,1,12,12,3606469.977858,3606469.987906,3606470.039949,INSTR,363702002
